dataset,accuracy,peak accuracy,train time
Crop,0.6529166666666667,0.6529166666666667,899.1444747447968
EOGHorizontalSignal,0.34806629834254144,0.34806629834254144,185.59239077568054
ElectricDevices,0.6912203345869538,0.6912203345869538,919.7586646080017
FordB,0.6234567901234568,0.6234567901234568,704.2409534454346
Fungi,0.46774193548387094,0.46774193548387094,43.26808500289917
InsectEPGRegularTrain,1.0,1.0,65.58181953430176
InsectWingbeatSound,0.4176767676767677,0.4176767676767677,173.4858741760254
MelbournePedestrian,0.8536285362853628,0.8536285362853628,148.2921440601349
NonInvasiveFetalECGThorax1,0.5307888040712468,0.5307888040712468,645.2310774326324
PigAirwayPressure,0.04807692307692308,0.04807692307692308,127.90615749359131
Strawberry,0.9027027027027027,0.9027027027027027,119.44306206703186
TwoPatterns,0.998,0.998,290.9709265232086
UWaveGestureLibraryAll,0.5474595198213289,0.5474595198213289,687.0720875263214
Worms,0.4155844155844156,0.4155844155844156,91.49401593208313
