dataset,accuracy,peak accuracy,train time
Crop,0.70875,0.70875,3978.616272687912
EOGHorizontalSignal,0.47513812154696133,0.47513812154696133,832.2673900127411
ElectricDevices,0.7191025807288289,0.7191025807288289,4124.645694732666
FordB,0.8148148148148148,0.8148148148148148,3098.4402952194214
Fungi,0.6505376344086021,0.6505376344086021,168.34418773651123
InsectEPGRegularTrain,0.9759036144578314,0.9759036144578314,238.3826448917389
InsectWingbeatSound,0.5035353535353535,0.5035353535353535,696.4462697505951
MelbournePedestrian,0.923329233292333,0.923329233292333,608.6212568283081
NonInvasiveFetalECGThorax1,0.7338422391857506,0.7338422391857506,2813.3833632469177
PigAirwayPressure,0.04807692307692308,0.04807692307692308,556.1657490730286
Strawberry,0.9594594594594594,0.9594594594594594,497.8303961753845
TwoPatterns,0.99875,0.99875,1168.6241779327393
UWaveGestureLibraryAll,0.8696259073143495,0.8696259073143495,2928.899285554886
Worms,0.45454545454545453,0.45454545454545453,368.21431851387024
