dataset,accuracy,peak accuracy,train time
Crop,0.7211904761904762,0.7211904761904762,21230.36625933647
EOGHorizontalSignal,0.5,0.5,3799.2728419303894
ElectricDevices,0.723900920762547,0.723900920762547,13890.979204654694
FordB,0.8012345679012346,0.8012345679012346,10793.850723981857
Fungi,0.6881720430107527,0.6881720430107527,767.2673296928406
InsectEPGRegularTrain,1.0,1.0,1650.8861148357391
InsectWingbeatSound,0.4984848484848485,0.4984848484848485,6583.552783727646
MelbournePedestrian,0.9528495284952849,0.9528495284952849,2680.459228038788
NonInvasiveFetalECGThorax1,0.7430025445292621,0.7430025445292621,13907.392096281052
PigAirwayPressure,0.11538461538461539,0.11538461538461539,3242.4004216194153
Strawberry,0.9432432432432433,0.9432432432432433,1354.3652126789093
TwoPatterns,0.999,0.999,8529.892532110214
UWaveGestureLibraryAll,0.8336125069793412,0.8336125069793412,28792.294050693512
Worms,0.4805194805194805,0.4805194805194805,1069.9711000919342
