dataset,accuracy,peak accuracy,train time
Crop,0.7398214285714285,0.7398214285714285,8546.602463960648
EOGHorizontalSignal,0.4171270718232044,0.4171270718232044,2720.7062520980835
ElectricDevices,0.7359616132797303,0.7359616132797303,9354.99113368988
FordB,0.7913580246913581,0.7913580246913581,9174.88620710373
Fungi,0.6451612903225806,0.6451612903225806,353.15738129615784
InsectEPGRegularTrain,1.0,1.0,634.0026540756226
InsectWingbeatSound,0.48484848484848486,0.48484848484848486,1579.3979823589325
MelbournePedestrian,0.949569495694957,0.949569495694957,1076.157709121704
NonInvasiveFetalECGThorax1,0.7893129770992366,0.7893129770992366,8505.240349292755
PigAirwayPressure,0.08653846153846154,0.08653846153846154,1824.9271597862244
Strawberry,0.9675675675675676,0.9675675675675676,1120.6312475204468
TwoPatterns,0.99925,0.99925,2485.3909480571747
UWaveGestureLibraryAll,0.6968174204355109,0.6968174204355109,9103.932106733322
Worms,0.5844155844155844,0.5844155844155844,1004.7493014335632
