dataset,accuracy,peak accuracy,train time
Crop,0.7016071428571429,0.7016071428571429,960.8173124790192
EOGHorizontalSignal,0.4447513812154696,0.4447513812154696,204.63444328308105
ElectricDevices,0.7102840098560498,0.7102840098560498,957.5602903366089
FordB,0.49382716049382713,0.49382716049382713,773.6726016998291
Fungi,0.6774193548387096,0.6774193548387096,45.79444098472595
InsectEPGRegularTrain,0.9759036144578314,0.9759036144578314,68.74303460121155
InsectWingbeatSound,0.45252525252525255,0.45252525252525255,180.3202724456787
MelbournePedestrian,0.9339893398933989,0.9339893398933989,149.92365312576294
NonInvasiveFetalECGThorax1,0.7312977099236642,0.7312977099236642,686.3656470775604
PigAirwayPressure,0.038461538461538464,0.038461538461538464,140.86745977401733
Strawberry,0.9594594594594594,0.9594594594594594,121.71369290351868
TwoPatterns,0.99775,0.99775,290.09466004371643
UWaveGestureLibraryAll,0.7791736460078169,0.7791736460078169,732.5824272632599
Worms,0.45454545454545453,0.45454545454545453,90.20409059524536
