dataset,accuracy,peak accuracy,train time
50words,0.5978021978021978,0.5978021978021978,369.4840292930603
Cricket_X,0.4564102564102564,0.4564102564102564,415.08869194984436
FaceAll,0.7668639053254438,0.7668639053254438,378.97330236434937
FordA,0.9044709802832547,0.9044709802832547,2320.8962643146515
NonInvasiveFatalECG_Thorax1,0.7893129770992366,0.7893129770992366,3257.482412338257
PhalangesOutlinesCorrect,0.824009324009324,0.824009324009324,460.80626606941223
UWaveGestureLibraryAll,0.7266890005583473,0.7266890005583473,3361.308638572693
wafer,0.996268656716418,0.996268656716418,1068.9742124080658
Two_Patterns,0.999,0.999,726.3340811729431
SwedishLeaf,0.8848,0.8848,222.95117807388306
StarLightCurves,0.9746236036911122,0.9746236036911122,6633.27835726738
