dataset,accuracy,peak accuracy,train time
50words,0.5582417582417583,0.5582417582417583,428.21593976020813
Cricket_X,0.49230769230769234,0.49230769230769234,428.8705816268921
FaceAll,0.7307692307692307,0.7307692307692307,477.8751308917999
FordA,0.9239100249930575,0.9239100249930575,2472.6980781555176
NonInvasiveFatalECG_Thorax1,0.7592875318066158,0.7592875318066158,3420.518881082535
PhalangesOutlinesCorrect,0.7913752913752914,0.7913752913752914,473.7429573535919
UWaveGestureLibraryAll,0.7102177554438861,0.7102177554438861,3624.5384681224823
wafer,0.9941596365996106,0.9941596365996106,1181.1299159526825
Two_Patterns,0.9995,0.9995,819.5283226966858
SwedishLeaf,0.8736,0.8736,266.59893250465393
StarLightCurves,0.9468188440990772,0.9468188440990772,7230.631628513336
