dataset,accuracy,peak accuracy,train time
50words,0.6087912087912087,0.6087912087912087,403.7806124687195
Cricket_X,0.5,0.5,424.921306848526
FaceAll,0.7053254437869823,0.7053254437869823,412.6952495574951
FordA,0.89225215217995,0.89225215217995,2456.0575408935547
NonInvasiveFatalECG_Thorax1,0.7877862595419848,0.7877862595419848,3393.7016830444336
PhalangesOutlinesCorrect,0.8251748251748252,0.8251748251748252,428.64574670791626
UWaveGestureLibraryAll,0.7638190954773869,0.7638190954773869,3598.7831342220306
wafer,0.9944841012329656,0.9944841012329656,1116.7462425231934
Two_Patterns,0.999,0.999,750.1858325004578
SwedishLeaf,0.864,0.864,241.4829592704773
StarLightCurves,0.9641816415735794,0.9641816415735794,7218.774592161179
