dataset,accuracy,peak accuracy,train time
50words,0.5626373626373626,0.5626373626373626,377.02899527549744
Cricket_X,0.4461538461538462,0.4461538461538462,400.4935414791107
FaceAll,0.7201183431952662,0.7201183431952662,405.42650866508484
FordA,0.9086364898639266,0.9086364898639266,2321.1724338531494
NonInvasiveFatalECG_Thorax1,0.7674300254452926,0.7674300254452926,3232.200718164444
PhalangesOutlinesCorrect,0.8391608391608392,0.8391608391608392,458.3923192024231
UWaveGestureLibraryAll,0.7071468453378001,0.7071468453378001,3345.575808763504
wafer,0.9926995457495134,0.9926995457495134,1090.6536047458649
Two_Patterns,0.99725,0.99725,754.8303351402283
SwedishLeaf,0.8464,0.8464,229.46810674667358
StarLightCurves,0.9534968431277319,0.9534968431277319,6647.537601232529
