dataset,accuracy,peak accuracy,train time
50words,0.5406593406593406,0.567032967032967,376.2521085739136
Cricket_X,0.34615384615384615,0.38461538461538464,363.87644815444946
FaceAll,0.6692307692307692,0.6846153846153846,725.7247772216797
FordA,0.8547625659539017,0.8553179672313246,5267.993806362152
NonInvasiveFatalECG_Thorax1,0.46921119592875316,0.6783715012722646,4254.953310251236
PhalangesOutlinesCorrect,0.7564102564102564,0.7797202797202797,253.61491894721985
StarLightCurves,0.9417192812044682,0.953861097620204,24197.771074533463
SwedishLeaf,0.7968,0.8144,266.694060087204
Two_Patterns,0.9965,0.9995,1668.8177194595337
UWaveGestureLibraryAll,0.6521496370742602,0.6823003908431045,9716.432330608368
wafer,0.994646333549643,0.9948085658663206,2977.87171459198
