epoch,train loss,val loss,train acc,val acc,lr
0,1.332377552986145,1.2358672209084034,0.321,0.383,0.0009999911173852617
1,1.1697985380887985,1.0576655939221382,0.41,0.4385,0.0009999644698917172
2,1.0304232761263847,1.02994404733181,0.46,0.448,0.000999920058571364
3,0.9602301195263863,0.8724911939352751,0.46,0.49475,0.000999857885177485
4,0.8434261083602905,0.8137295618653297,0.495,0.50325,0.0009997779521645793
5,0.8045496642589569,0.8041208162903786,0.505,0.4935,0.0009996802626882652
6,0.7871891483664513,0.7964580580592155,0.51,0.4895,0.0009995648206051562
7,0.788186326622963,0.7813296001404524,0.493,0.4985,0.000999431630472708
8,0.7788474336266518,0.7860472872853279,0.522,0.49525,0.0009992806975490387
9,0.771044634282589,0.7697737533599138,0.537,0.48575,0.0009991120277927223
10,0.7529563531279564,0.768099645152688,0.529,0.49875,0.0009989256278625513
11,0.7522352412343025,0.7679732125252485,0.557,0.52975,0.0009987215051172763
12,0.7346334010362625,0.7354799620807171,0.577,0.5545,0.0009984996676153134
13,0.6975172460079193,0.6676200460642576,0.607,0.64775,0.0009982601241144277
14,0.645721822977066,0.6302294246852398,0.665,0.6595,0.000998002884071386
15,0.5681894868612289,0.5276700705289841,0.748,0.766,0.000997727957641585
16,0.5505872257053852,0.507882583886385,0.784,0.78725,0.0009974353556786496
17,0.4854265935719013,0.40936067420989275,0.813,0.84925,0.0009971250897340038
18,0.3532962240278721,0.2914659082889557,0.88,0.91575,0.000996797172056416
19,0.2888706177473068,0.32326715532690287,0.901,0.88775,0.000996451615591515
20,0.3306054677814245,0.34336432348936796,0.869,0.86975,0.000996088433981278
21,0.2857561483979225,0.2554198419675231,0.887,0.91925,0.000995707641563493
22,0.19828670285642147,0.16861686296761036,0.934,0.95225,0.000995309253371193
23,0.1788172759115696,0.20297570247203112,0.947,0.93725,0.0009948932851320611
24,0.4144341051578522,0.6534728612750769,0.849,0.7255,0.000994459753267812
25,0.588771715760231,0.5061216987669468,0.748,0.77275,0.0009940086748935406
26,0.4025301858782768,0.32272906601428986,0.834,0.88975,0.000993540067817049
27,0.24970502220094204,0.18979189731180668,0.913,0.94725,0.0009930539505381424
28,0.18951062206178904,0.17580913472920656,0.941,0.951,0.0009925503422478982
29,0.14687573071569204,0.16190335317514837,0.961,0.96325,0.00099202926282791
30,0.14057388622313738,0.11729068355634809,0.967,0.972,0.0009914907328495003
31,0.20955385081470013,0.16446668887510896,0.951,0.96425,0.000990934773572911
32,0.10136351268738508,0.12655263836495578,0.978,0.97225,0.0009903614069464624
33,0.12553297635167837,0.13182391854934394,0.97,0.9665,0.000989770655605687
34,0.14045260474085808,0.15153370704501867,0.964,0.96125,0.0009891625428724363
35,0.09737766347825527,0.6249304916709661,0.977,0.8855,0.0009885370927539597
36,0.2839158670976758,0.15039881109260023,0.947,0.96275,0.000987894329941957
37,0.1649544294923544,0.1774868459906429,0.953,0.948,0.0009872342798116032
38,0.16308197937905788,0.1491148341447115,0.954,0.9575,0.0009865569684205475
39,0.12685800064355135,0.12097345129586756,0.967,0.966,0.000985862422507884
40,0.1125172283500433,0.14674088777974248,0.97,0.962,0.0009851506694930957
41,0.1262889732606709,0.1319798065815121,0.965,0.9655,0.0009844217374749733
42,0.11313554644584656,0.11900208541192114,0.972,0.97025,0.0009836756552305044
43,0.09632998798042536,0.11166131508070976,0.976,0.97175,0.0009829124522137385
44,0.09262894513085485,0.10436048469273373,0.976,0.9765,0.0009821321585546244
45,0.0901157739572227,0.106412160967011,0.978,0.97625,0.0009813348050578192
46,0.09752435190603137,0.2628060751594603,0.977,0.9475,0.0009805204232014738
47,0.30979258194565773,0.39243544917553663,0.905,0.86075,0.0009796890451359893
48,0.42193305492401123,0.38363313116133213,0.828,0.822,0.0009788407036827485
49,0.32193528674542904,0.40946338791400194,0.881,0.85125,0.0009779754323328191
50,0.31125050969421864,0.29884237237274647,0.885,0.8935,0.0009770932652456326
51,0.25689404644072056,0.27410462591797113,0.91,0.9005,0.0009761942372476348
52,0.23437127098441124,0.24521605111658573,0.919,0.91425,0.0009752783838309121
53,0.2089759260416031,0.24361068243160844,0.927,0.9155,0.0009743457411517891
54,0.20395954884588718,0.20837026834487915,0.932,0.9295,0.0009733963460294015
55,0.18190660513937473,0.19503790512681007,0.943,0.93975,0.0009724302359442435
56,0.17093930765986443,0.17359381378628314,0.943,0.9465,0.0009714474490366867
57,0.15576295275241137,0.1648384954314679,0.95,0.9475,0.0009704480241054755
58,0.14621239621192217,0.15145850577391684,0.952,0.95175,0.0009694320006061949
59,0.15065432339906693,0.16637904825620353,0.955,0.95225,0.0009683994186497131
60,0.14462262950837612,0.14953851560130715,0.959,0.95575,0.0009673503190005976
61,0.14209097158163786,0.15284496475942433,0.957,0.9545,0.0009662847430755061
62,0.13835154194384813,0.1634654018562287,0.957,0.95225,0.0009652027329415517
63,0.12942301109433174,0.14924385235644877,0.958,0.95625,0.0009641043313146417
64,0.12447597272694111,0.14110380574129522,0.964,0.96,0.0009629895815577914
65,0.10648900317028165,0.13185542938299477,0.971,0.96275,0.0009618585276794129
66,0.11072174506261945,0.12531437817960978,0.969,0.965,0.0009607112143315763
67,0.11148985056206584,0.12341566104441881,0.969,0.96525,0.000959547686808248
68,0.10366240562871099,0.12452849774854258,0.972,0.965,0.0009583679910435026
69,0.10628042835742235,0.1252795122563839,0.968,0.964,0.0009571721736097088
70,0.10713336104527116,0.11768067616503686,0.966,0.96675,0.0009559602817156913
71,0.09733171295374632,0.11327777523547411,0.971,0.96825,0.000954732363204867
72,0.09898656792938709,0.11457383830565959,0.97,0.9655,0.0009534884665533562
73,0.09513483801856637,0.1066169593250379,0.972,0.96825,0.0009522286408680687
74,0.09308842616155744,0.10620406165253371,0.972,0.96725,0.0009509529358847655
75,0.08613036014139652,0.11225736740743741,0.975,0.967,0.000949661401966095
76,0.07665172289125621,0.10966679593548179,0.979,0.964,0.0009483540900996049
77,0.08939933544024825,0.10526142502203584,0.972,0.96875,0.000947031051895729
78,0.09561053616926074,0.09916187822818756,0.972,0.9705,0.0009456923395857503
79,0.0934337661601603,0.09246371209155768,0.973,0.9695,0.0009443380060197386
80,0.08297895500436425,0.08832523436285555,0.971,0.9735,0.0009429681046644641
81,0.07482529687695205,0.09566827956587076,0.977,0.96925,0.0009415826896012866
82,0.07219575508497655,0.09609772521071136,0.978,0.9735,0.0009401818155240205
83,0.10153515497222543,0.1055961613310501,0.97,0.96925,0.0009387655377367758
84,0.06688302615657449,0.07725429907441139,0.982,0.9775,0.0009373339121517746
85,0.06886970112100244,0.0740905522252433,0.981,0.979,0.0009358869952871435
86,0.06722236704081297,0.08340742890140973,0.98,0.9785,0.0009344248442646828
87,0.06459632609039545,0.06855663051828742,0.982,0.9835,0.0009329475168076114
88,0.05478617758490145,0.12067909899633378,0.985,0.9535,0.0009314550712382875
89,0.08785022865049541,0.07735760806826875,0.97,0.979,0.0009299475664759069
90,0.0624670151155442,0.0569510426139459,0.98,0.98375,0.0009284250620341762
91,0.05359663092531264,0.0478119669132866,0.985,0.987,0.0009268876180189638
92,0.050711307558231056,0.05299431728781201,0.986,0.987,0.0009253352951259271
93,0.044422781793400645,0.043460113869514316,0.989,0.9895,0.0009237681546381157
94,0.04377695021685213,0.04475313346483745,0.987,0.98925,0.0009221862584235528
95,0.036085361847653985,0.050958061998244375,0.99,0.98625,0.0009205896689327923
96,0.04638686147518456,0.04876686887291726,0.988,0.988,0.0009189784491964537
97,0.03389923949725926,0.03971982290386222,0.991,0.99025,0.0009173526628227329
98,0.038785425247624516,0.04855369597498793,0.991,0.988,0.0009157123739948923
99,0.03688099200371653,0.04319370150915347,0.991,0.99075,0.0009140576474687263
100,0.028024691389873624,0.050683630237472244,0.992,0.9865,0.0009123885485700048
101,0.024007533094845712,0.04393488133791834,0.995,0.99025,0.0009107051431918945
102,0.02672003785846755,0.04304032576328609,0.994,0.9905,0.000909007497792357
103,0.06108982505975291,0.0452398947236361,0.985,0.99025,0.0009072956793915258
104,0.08799071074463427,0.1033933873695787,0.981,0.97825,0.0009055697555690606
105,0.09787042264360934,0.08784688473679125,0.979,0.9795,0.0009038297944614785
106,0.08564807125367224,0.06568586610956118,0.98,0.9865,0.0009020758647594646
107,0.06118754297494888,0.0546082983200904,0.987,0.98975,0.0009003080357051607
108,0.04265661025419831,0.046565828524762765,0.991,0.99125,0.0008985263770894303
109,0.03900708246510476,0.04239855405467097,0.992,0.99175,0.000896730959249105
110,0.042383029125630856,0.04387477191630751,0.992,0.99175,0.0008949218530642074
111,0.03913853515405208,0.04542814601154532,0.992,0.99075,0.0008930991299551515
112,0.05045558139681816,0.040744295896729454,0.988,0.99175,0.0008912628618799249
113,0.03480306104756892,0.04679988473071717,0.993,0.99,0.0008894131213312468
114,0.038599784835241735,0.03666386171244085,0.992,0.99275,0.0008875499813337069
115,0.025491008011158556,0.03462434776884038,0.994,0.9935,0.000885673515440882
116,0.026012356451246887,0.02858173387357965,0.994,0.994,0.0008837837977324327
117,0.019783204596024007,0.02914000464079436,0.997,0.9935,0.0008818809028111783
118,0.018044246069621295,0.03247680630738614,0.997,0.99325,0.0008799649058001521
119,0.020798563491553068,0.02271890219708439,0.996,0.995,0.0008780358823396353
120,0.020420042565092444,0.02613151862169616,0.996,0.99475,0.000876093908584171
121,0.022138053958769888,0.029501843608159106,0.995,0.99325,0.000874139061199558
122,0.020496761368121952,0.023413524126226548,0.994,0.99425,0.000872171417359824
123,0.01700639640330337,0.031064396156580187,0.997,0.994,0.0008701910547441786
124,0.026645305508282036,0.02475353013142012,0.993,0.995,0.0008681980515339464
125,0.02562190790195018,0.029188878572313115,0.995,0.99275,0.0008661924864094822
126,0.018109639873728156,0.025552954022714403,0.996,0.995,0.0008641744385470627
127,0.017689759493805468,0.029659486761374865,0.997,0.99425,0.0008621439876157623
128,0.01629396472708322,0.0225967676306027,0.997,0.995,0.0008601012137743068
129,0.016388121293857694,0.02503254824114265,0.997,0.9945,0.0008580461976679099
130,0.016359148372430354,0.02252410641813185,0.997,0.995,0.0008559790204250886
131,0.01580326957628131,0.023622206033905968,0.997,0.9945,0.000853899763654461
132,0.01569725145236589,0.028821594605688006,0.997,0.9935,0.000851808509441524
133,0.015943473030347377,0.028420612965419423,0.997,0.994,0.0008497053403454133
134,0.01517177524510771,0.019901781728549395,0.997,0.99625,0.0008475903393956434
135,0.017081328231142834,0.02026959693466779,0.996,0.99575,0.0008454635900888304
136,0.021344599954318255,0.02128432635072386,0.996,0.996,0.0008433251763853955
137,0.01507301811943762,0.026528538764978293,0.997,0.994,0.00084117518270625
138,0.017552021628944203,0.04400305700983154,0.996,0.9925,0.000839013693929463
139,0.02310980239417404,0.027542864037968684,0.995,0.9945,0.0008368407953869105
140,0.01552584589808248,0.07340007643506397,0.993,0.97575,0.0008346565728609061
141,0.03674385021440685,0.041726956216734834,0.992,0.99075,0.0008324611125808153
142,0.0355212623544503,0.02222978374629747,0.994,0.9935,0.0008302545012196506
143,0.01649406278738752,0.0169602777750697,0.996,0.99675,0.0008280368258906504
144,0.010344473412260413,0.012681926906225272,0.997,0.9975,0.0008258081741438395
145,0.007625009951880202,0.008545293458155356,0.999,0.998,0.0008235686339625725
146,0.005271336151054129,0.012877790300990455,0.999,0.99675,0.0008213182937600612
147,0.20070520721492358,0.25450612080749124,0.966,0.94325,0.0008190572423758836
148,0.25848555751144886,0.1325122694252059,0.944,0.9665,0.0008167855690724767
149,0.13567985082045197,0.1112826750613749,0.966,0.969,0.000814503363531613
150,0.10106648737564683,0.07120020262664184,0.975,0.9825,0.0008122107158508593
151,0.07230270677246153,0.05451060045743361,0.98,0.98675,0.0008099077165400204
152,0.0569067420437932,0.040279646520502865,0.984,0.9895,0.0008075944565175658
153,0.03411404287908226,0.04920020277495496,0.991,0.98925,0.0008052710271070406
154,0.03011336037889123,0.03306913957931101,0.993,0.99375,0.0008029375200334588
155,0.03424169134814292,0.03424237573926803,0.991,0.9915,0.0008005940274196846
156,0.024495127669069916,0.026007777167251334,0.994,0.993,0.0007982406417827937
157,0.017216517473571002,0.02367982432770077,0.996,0.99375,0.0007958774560304212
158,0.01268107903888449,0.021363150372053497,0.997,0.995,0.0007935045634570941
159,0.014972149103414267,0.021658436322468333,0.996,0.9955,0.0007911220577405485
160,0.012146727385697886,0.021348925860365853,0.997,0.9955,0.0007887300329380303
161,0.011258129263296723,0.023312591249123216,0.997,0.995,0.0007863285834825832
162,0.018588995764730498,0.016502884827787057,0.996,0.9965,0.0007839178041793192
163,0.009226061723893508,0.011824483430245891,0.998,0.9975,0.000781497790201678
164,0.008990659931441769,0.016815517221402843,0.999,0.99675,0.0007790686370876671
165,0.012098219100153074,0.020601441457984038,0.998,0.9955,0.0007766304407360923
166,0.01698875246802345,0.024972989413072355,0.997,0.99525,0.0007741832974027709
167,0.013342828344320878,0.02410421452805167,0.997,0.995,0.0007717273036967312
168,0.020888916886178777,0.015655385308491532,0.996,0.99675,0.0007692625565763996
169,0.01624826088664122,0.010387359739979729,0.996,0.9985,0.0007667891533457719
170,0.005336677102604881,0.019392000627703965,1.0,0.99575,0.0007643071916505727
171,0.007100225891917944,0.012190248686238192,0.999,0.997,0.0007618167694743997
172,0.005062855430878699,0.0064020008212537505,0.999,0.9995,0.0007593179851348563
173,0.012646784802200273,0.014138570870272815,0.997,0.99675,0.0007568109372796697
174,0.012248718208866194,0.009262023697374389,0.997,0.9985,0.000754295724882796
175,0.0032577252422925085,0.014354530496348161,1.0,0.99775,0.0007517724472405146
176,0.0034245346614625305,0.00873280974701629,0.999,0.99875,0.0007492412039675057
177,0.0024270021967822686,0.00690400077655795,1.0,0.999,0.0007467020949929198
178,0.0018245008250232786,0.007102553605363937,1.0,0.99875,0.0007441552205564317
179,0.012224571604747325,0.007507651131163584,0.998,0.9985,0.0007416006812042827
180,0.0016273385990643874,0.004326318728999468,1.0,0.99925,0.0007390385777853129
181,0.0016688339383108541,0.005940963248576736,1.0,0.99875,0.0007364690114469779
182,0.0015661059151170775,0.007044247300655115,1.0,0.998,0.0007338920836313571
183,0.0014908368466421962,0.006294475391769083,1.0,0.999,0.0007313078960711482
184,0.0014519397227559239,0.006078840520785889,1.0,0.9985,0.0007287165507856514
185,0.0012586494849529117,0.006808074998843949,1.0,0.9985,0.0007261181500767412
186,0.0012211934517836198,0.007497168135159882,1.0,0.998,0.0007235127965248285
187,0.001161344553111121,0.0034236441242683213,1.0,0.999,0.0007209005929848106
188,0.001986599396332167,0.01104059529825463,1.0,0.997,0.0007182816425820101
189,0.001382930924592074,0.008214461093302816,1.0,0.99825,0.0007156560487081051
190,0.001186203386168927,0.006683574001726811,1.0,0.99875,0.0007130239150170457
191,0.001071316233719699,0.007605067910844809,1.0,0.99875,0.0007103853454209628
192,0.0009429943020222709,0.009460662789933849,1.0,0.99825,0.0007077404440860665
193,0.0009235465040546842,0.008334674910656759,1.0,0.9985,0.0007050893154285328
194,0.0009671208608779125,0.006147646356112091,1.0,0.99875,0.0007024320641103813
