dataset,accuracy,peak accuracy,train time
StarLightCurves,0.930427391937834,0.937712481787275,4789.16056752205
SwedishLeaf,0.8592,0.8768,122.171473503113
Two_Patterns,0.9995,1,436.402930021286
50words,0.562637362637363,0.582417582417583,195.868587732315
Cricket_X,0.371794871794872,0.4,196.617582082748
FaceAll,0.695266272189349,0.706508875739645,211.244698047638
FordA,0.800888642043877,0.800888642043877,1536.59438633919
NonInvasiveFatalECG_Thorax1,0.787277353689567,0.805089058524173,2108.70411133766
PhalangesOutlinesCorrect,0.713286713286713,0.722610722610723,234.561737775803
UWaveGestureLibraryAll,0.74427694025684,0.752652149637074,2379.35685276985
wafer,0.994321868916288,0.995619727449708,669.875563144684
