epoch,train loss,val loss,train acc,val acc,lr
0,2.6915666460990906,2.6318539142608643,0.112,0.1392,0.0009999911173852617
1,2.576158821582794,2.531015491485596,0.21,0.1536,0.0009999644698917172
2,2.4691720604896545,2.4248379707336425,0.222,0.2176,0.000999920058571364
3,2.356440007686615,2.3418195724487303,0.266,0.2368,0.000999857885177485
4,2.2820934057235718,2.2185973644256594,0.286,0.3136,0.0009997779521645793
5,2.167843222618103,2.1484211921691894,0.296,0.2736,0.0009996802626882652
6,2.0865089297294617,2.023326873779297,0.302,0.3376,0.0009995648206051562
7,1.9903441369533539,1.983566904067993,0.336,0.2992,0.000999431630472708
8,1.9471987783908844,1.9360520839691162,0.33,0.3376,0.0009992806975490387
9,1.8848941624164581,1.8066271781921386,0.37,0.3952,0.0009991120277927223
10,1.8022002279758453,1.7431971073150634,0.402,0.3936,0.0009989256278625513
11,1.6990332305431366,1.7100954532623291,0.456,0.432,0.0009987215051172763
12,1.6542950570583344,1.6288080215454102,0.478,0.472,0.0009984996676153134
13,1.6461640000343323,1.575894570350647,0.444,0.4672,0.0009982601241144277
14,1.5686656534671783,1.5938943386077882,0.462,0.4784,0.000998002884071386
15,1.5568119287490845,1.4571725368499755,0.488,0.4976,0.000997727957641585
16,1.455249398946762,1.4101898193359375,0.508,0.5376,0.0009974353556786496
17,1.380975991487503,1.4241153240203857,0.552,0.5136,0.0009971250897340038
18,1.3779522776603699,1.4760031223297119,0.552,0.5264,0.000996797172056416
19,1.4685539603233337,1.3322020530700684,0.484,0.5632,0.000996451615591515
20,1.3505637049674988,1.315398597717285,0.532,0.5632,0.000996088433981278
21,1.3104355037212372,1.272785210609436,0.54,0.5872,0.000995707641563493
22,1.2810811400413513,1.2842823028564454,0.53,0.5792,0.000995309253371193
23,1.2440198957920074,1.271434235572815,0.586,0.5584,0.0009948932851320611
24,1.229965090751648,1.2752178192138672,0.564,0.576,0.000994459753267812
25,1.2126208543777466,1.2086900234222413,0.57,0.5808,0.0009940086748935406
26,1.1561580002307892,1.2579205751419067,0.588,0.5824,0.000993540067817049
27,1.163098156452179,1.0918530702590943,0.602,0.656,0.0009930539505381424
28,1.0645566433668137,1.0699059009552,0.654,0.672,0.0009925503422478982
29,1.0175603032112122,1.1140433073043823,0.664,0.6192,0.00099202926282791
30,1.0124141424894333,0.9863436222076416,0.664,0.6944,0.0009914907328495003
31,1.0220719277858734,1.1642135024070739,0.66,0.6224,0.000990934773572911
32,1.080756738781929,1.2805680274963378,0.626,0.568,0.0009903614069464624
33,1.0553124845027924,1.0906716108322143,0.634,0.6016,0.000989770655605687
34,1.051529049873352,0.9940331935882568,0.628,0.6912,0.0009891625428724363
35,0.9990743696689606,1.071312713623047,0.674,0.6304,0.0009885370927539597
36,0.993245854973793,1.045401644706726,0.666,0.6592,0.000987894329941957
37,0.9387640208005905,0.9464788436889648,0.678,0.6992,0.0009872342798116032
38,0.8505894094705582,0.9787693619728088,0.7,0.6688,0.0009865569684205475
39,0.8621672987937927,0.9057173132896423,0.704,0.7168,0.000985862422507884
40,0.8051874190568924,0.9135312080383301,0.734,0.696,0.0009851506694930957
41,0.7701590061187744,0.8959755659103393,0.75,0.6976,0.0009844217374749733
42,0.7462304532527924,0.8350114583969116,0.75,0.7296,0.0009836756552305044
43,0.7481353282928467,0.9565107345581054,0.748,0.648,0.0009829124522137385
44,0.8066413402557373,0.8229550957679749,0.71,0.7216,0.0009821321585546244
45,0.7812536656856537,0.8661634922027588,0.742,0.7088,0.0009813348050578192
46,0.763081967830658,0.9644153714179993,0.718,0.6704,0.0009805204232014738
47,0.7978028357028961,0.8956445693969727,0.74,0.7056,0.0009796890451359893
48,0.7718307822942734,0.8065936803817749,0.736,0.7312,0.0009788407036827485
49,0.6802008002996445,0.7666435003280639,0.768,0.7456,0.0009779754323328191
50,0.6596706807613373,0.7720888733863831,0.786,0.7456,0.0009770932652456326
51,0.62278912961483,0.8159504413604737,0.798,0.704,0.0009761942372476348
52,0.6557210385799408,0.7623983502388001,0.766,0.7424,0.0009752783838309121
53,0.5971946120262146,0.7579249739646912,0.804,0.7472,0.0009743457411517891
54,0.5961931049823761,0.770936107635498,0.784,0.7312,0.0009733963460294015
55,0.5775936245918274,0.7679612636566162,0.798,0.744,0.0009724302359442435
56,0.6278389990329742,0.8354598402976989,0.792,0.7248,0.0009714474490366867
57,0.6204215288162231,0.8077744364738464,0.764,0.712,0.0009704480241054755
58,0.5852258205413818,0.7895169019699096,0.806,0.7552,0.0009694320006061949
59,0.5414699465036392,0.7512874484062195,0.816,0.7376,0.0009683994186497131
60,0.5368609130382538,0.7629975795745849,0.832,0.7504,0.0009673503190005976
61,0.5276321321725845,0.7107256174087524,0.822,0.7504,0.0009662847430755061
62,0.5062359198927879,0.7672762393951416,0.84,0.7392,0.0009652027329415517
63,0.5120711773633957,0.741238796710968,0.824,0.728,0.0009641043313146417
64,0.5399162024259567,0.8085201501846313,0.81,0.7136,0.0009629895815577914
65,0.5762478858232498,0.7077168226242065,0.816,0.7504,0.0009618585276794129
66,0.527795322239399,0.771009361743927,0.804,0.7248,0.0009607112143315763
67,0.5130054578185081,0.7180745363235473,0.834,0.7696,0.000959547686808248
68,0.486792229115963,0.7943096280097961,0.824,0.72,0.0009583679910435026
69,0.5230097249150276,0.6913048028945923,0.826,0.7632,0.0009571721736097088
70,0.45769380778074265,0.6714647650718689,0.852,0.76,0.0009559602817156913
71,0.4687243327498436,0.6955344557762146,0.84,0.744,0.000954732363204867
72,0.45588507503271103,0.7300377368927002,0.852,0.7536,0.0009534884665533562
73,0.46546508371829987,0.7148325443267822,0.846,0.736,0.0009522286408680687
74,0.45212483406066895,0.6989192962646484,0.858,0.7584,0.0009509529358847655
75,0.4367549940943718,0.6596933484077454,0.858,0.7728,0.000949661401966095
76,0.42563774436712265,0.6685439586639405,0.852,0.7712,0.0009483540900996049
77,0.4043097123503685,0.6710792064666748,0.874,0.7616,0.000947031051895729
78,0.38891786336898804,0.6787720680236816,0.872,0.7536,0.0009456923395857503
79,0.4238520711660385,0.7131106972694397,0.852,0.752,0.0009443380060197386
80,0.42547788470983505,0.688690984249115,0.85,0.7488,0.0009429681046644641
81,0.408932626247406,0.6963733315467835,0.844,0.7488,0.0009415826896012866
