dataset,accuracy,peak accuracy,train time
50words,0.4967032967032967,0.545054945054945,196.14269995689392
Cricket_X,0.3641025641025641,0.37948717948717947,196.4614975452423
FaceAll,0.6810650887573965,0.6875739644970414,212.5887987613678
FordA,0.838933629547348,0.8600388780894196,1511.108063697815
NonInvasiveFatalECG_Thorax1,0.6905852417302799,0.7134860050890586,2076.0008442401886
PhalangesOutlinesCorrect,0.7972027972027972,0.8275058275058275,236.086660861969
StarLightCurves,0.9439048081593007,0.9560466245750364,4666.426032066345
SwedishLeaf,0.824,0.8288,124.11763310432434
Two_Patterns,0.98975,0.997,435.53365659713745
UWaveGestureLibraryAll,0.7238972640982692,0.7414852037967616,2334.508960723877
wafer,0.995295262816353,0.9957819597663855,669.0841426849365
