dataset,accuracy,peak accuracy,train time
50words,0.512087912087912,0.5516483516483517,194.82049536705017
Cricket_X,0.24102564102564103,0.28717948717948716,195.5931510925293
FaceAll,0.6804733727810651,0.6940828402366864,210.1008403301239
FordA,0.5681755068036657,0.5681755068036657,1480.5906250476837
NonInvasiveFatalECG_Thorax1,0.6824427480916031,0.7094147582697201,2066.0455238819122
PhalangesOutlinesCorrect,0.6130536130536131,0.6130536130536131,231.5160710811615
StarLightCurves,0.9123360854783875,0.9298203011170472,4642.449150085449
SwedishLeaf,0.8528,0.8576,121.54310536384583
Two_Patterns,0.98675,0.99825,430.73928022384644
UWaveGestureLibraryAll,0.7696817420435511,0.7699609156895589,2329.069299221039
wafer,0.994970798182998,0.9965931213497728,660.8903744220734
