,train loss,val loss,train acc,val acc,lr
0,0.812197744846344,0.7774264812469482,0.31,0.36,0.001
1,0.7986194491386414,0.7677603960037231,0.31,0.36,0.001
2,0.7856164574623108,0.7559447288513184,0.31,0.36,0.001
3,0.7724319696426392,0.7450082898139954,0.31,0.36,0.001
4,0.7596319317817688,0.7347022891044617,0.31,0.36,0.001
5,0.7476373314857483,0.7255488634109497,0.31,0.36,0.001
6,0.7367395162582397,0.7173851728439331,0.31,0.36,0.001
7,0.726895809173584,0.7099012732505798,0.31,0.37,0.001
8,0.7177287340164185,0.7020161151885986,0.31,0.38,0.001
9,0.7086721062660217,0.6944296956062317,0.35,0.41,0.001
10,0.6994454860687256,0.6872798800468445,0.38,0.42,0.001
11,0.6903577446937561,0.6800457239151001,0.43,0.51,0.001
12,0.6816282868385315,0.6733214855194092,0.48,0.6,0.001
13,0.6733174324035645,0.6673477292060852,0.53,0.62,0.001
14,0.6654598712921143,0.66172194480896,0.64,0.64,0.001
15,0.6581609845161438,0.656629741191864,0.69,0.66,0.001
16,0.6514934301376343,0.6522867679595947,0.7,0.67,0.001
17,0.6454421281814575,0.6482764482498169,0.71,0.7,0.001
18,0.6397749185562134,0.6447914838790894,0.71,0.69,0.001
19,0.6344030499458313,0.6417098045349121,0.72,0.69,0.001
20,0.6292356848716736,0.6386731863021851,0.74,0.69,0.001
21,0.6242119669914246,0.6359432935714722,0.76,0.7,0.001
22,0.6194120049476624,0.6327941417694092,0.76,0.72,0.001
23,0.6148772239685059,0.6298266649246216,0.78,0.72,0.001
24,0.6105830669403076,0.6267042756080627,0.79,0.72,0.001
25,0.606520414352417,0.6233803033828735,0.8,0.72,0.001
26,0.6026762127876282,0.6197963953018188,0.8,0.72,0.001
27,0.5989850759506226,0.6163474917411804,0.8,0.73,0.001
28,0.595422625541687,0.6129072308540344,0.8,0.73,0.001
29,0.5919773578643799,0.6097692251205444,0.8,0.73,0.001
30,0.5886943340301514,0.6071122884750366,0.8,0.73,0.001
31,0.5856114625930786,0.6045708656311035,0.8,0.74,0.001
32,0.5827138423919678,0.6022763848304749,0.8,0.74,0.001
33,0.5799405574798584,0.6005271673202515,0.8,0.74,0.001
34,0.5772419571876526,0.5987046957015991,0.8,0.74,0.001
35,0.5746705532073975,0.5969938039779663,0.8,0.74,0.001
36,0.5721899271011353,0.5955747961997986,0.79,0.74,0.001
37,0.5697953104972839,0.5942259430885315,0.81,0.74,0.001
38,0.5674766302108765,0.5925161838531494,0.81,0.75,0.001
39,0.5652579069137573,0.5908331871032715,0.81,0.75,0.001
40,0.5631192326545715,0.5892542004585266,0.81,0.75,0.001
41,0.5610591769218445,0.5877476930618286,0.83,0.76,0.001
42,0.5590560436248779,0.5861698389053345,0.83,0.76,0.001
43,0.5571090579032898,0.5844579339027405,0.83,0.76,0.001
44,0.5551903247833252,0.5830161571502686,0.83,0.76,0.001
45,0.5533320307731628,0.5818912386894226,0.83,0.76,0.001
46,0.5515503883361816,0.5804405808448792,0.83,0.77,0.001
47,0.5497994422912598,0.5791014432907104,0.83,0.77,0.001
48,0.5480856895446777,0.578039824962616,0.83,0.76,0.001
49,0.5463700890541077,0.5768009424209595,0.83,0.76,0.001
50,0.5446786284446716,0.5751664638519287,0.83,0.78,0.001
51,0.5430148243904114,0.5737436413764954,0.83,0.78,0.001
52,0.541374146938324,0.5724225044250488,0.82,0.78,0.001
53,0.5397485494613647,0.5709032416343689,0.82,0.78,0.001
54,0.5381331443786621,0.5693073868751526,0.82,0.78,0.001
55,0.5365362763404846,0.5679464340209961,0.82,0.77,0.001
56,0.5349549055099487,0.5666797757148743,0.82,0.77,0.001
57,0.5333530306816101,0.5652744174003601,0.82,0.77,0.001
58,0.5317643880844116,0.5638311505317688,0.84,0.77,0.001
59,0.5301425457000732,0.5625949501991272,0.84,0.77,0.001
60,0.5285021066665649,0.5614181756973267,0.85,0.77,0.001
61,0.5268475413322449,0.5602871179580688,0.85,0.77,0.001
62,0.5251827836036682,0.5591259002685547,0.85,0.77,0.001
63,0.5235279202461243,0.5579528212547302,0.85,0.77,0.001
64,0.5218750238418579,0.5568467378616333,0.85,0.77,0.001
65,0.5202247500419617,0.5556017160415649,0.85,0.77,0.001
66,0.5185690522193909,0.5543349981307983,0.85,0.77,0.001
67,0.5169032216072083,0.5529639720916748,0.85,0.76,0.001
68,0.5152338147163391,0.5516241192817688,0.85,0.76,0.001
69,0.5135576128959656,0.5502917766571045,0.85,0.76,0.001
70,0.5118710398674011,0.5487822890281677,0.86,0.76,0.001
71,0.5101794600486755,0.5475659370422363,0.87,0.76,0.001
72,0.508463442325592,0.5464248061180115,0.87,0.76,0.001
73,0.5067057609558105,0.545386791229248,0.87,0.77,0.001
74,0.5049469470977783,0.5443731546401978,0.87,0.77,0.001
75,0.5031590461730957,0.5434578061103821,0.87,0.77,0.001
76,0.5013763904571533,0.5422297120094299,0.88,0.77,0.001
77,0.4995923638343811,0.541179895401001,0.88,0.77,0.001
78,0.49777862429618835,0.5395132899284363,0.88,0.77,0.001
79,0.4959653615951538,0.5380581021308899,0.88,0.77,0.001
80,0.4941478669643402,0.5370059013366699,0.88,0.77,0.001
81,0.49233072996139526,0.5359998941421509,0.89,0.77,0.001
82,0.4904880225658417,0.5354902744293213,0.89,0.78,0.001
83,0.48866283893585205,0.5339397192001343,0.9,0.79,0.001
84,0.486855149269104,0.5331815481185913,0.9,0.79,0.001
85,0.4850730001926422,0.5309221744537354,0.9,0.79,0.001
86,0.4832807779312134,0.5306985974311829,0.9,0.81,0.001
87,0.4814370274543762,0.5292062163352966,0.9,0.81,0.001
