,train loss,val loss,train acc,val acc,lr
0,0.6897643208503723,0.6751607656478882,0.7,0.64,0.001
1,0.6677088141441345,0.6629320383071899,0.69,0.64,0.001
2,0.6484058499336243,0.6535941958427429,0.69,0.64,0.001
3,0.6318261623382568,0.6474665999412537,0.69,0.64,0.001
4,0.6183334589004517,0.6449727416038513,0.69,0.64,0.001
5,0.6086421608924866,0.6458624005317688,0.69,0.64,0.001
6,0.6031485199928284,0.6480874419212341,0.69,0.64,0.001
7,0.6004993319511414,0.6484435796737671,0.69,0.64,0.001
8,0.5973795056343079,0.644972562789917,0.69,0.64,0.001
9,0.5910905599594116,0.6378212571144104,0.69,0.64,0.001
10,0.5816841721534729,0.6289531588554382,0.7,0.63,0.001
11,0.5717819929122925,0.6208937168121338,0.7,0.6,0.001
12,0.5642647743225098,0.6152409911155701,0.75,0.64,0.001
13,0.5602390766143799,0.611809492111206,0.75,0.71,0.001
14,0.5583146810531616,0.6088694930076599,0.77,0.69,0.001
15,0.5555278658866882,0.6050603985786438,0.76,0.7,0.001
16,0.5502923727035522,0.6001561880111694,0.78,0.7,0.001
17,0.5434042811393738,0.5935238003730774,0.78,0.71,0.001
18,0.5358694791793823,0.5901420712471008,0.78,0.72,0.001
19,0.5275828838348389,0.6043224334716797,0.8,0.67,0.001
20,0.5353415012359619,0.5866175889968872,0.76,0.7,0.001
21,0.5255171060562134,0.6067559719085693,0.78,0.68,0.001
22,0.5364363789558411,0.6173661351203918,0.74,0.67,0.001
23,0.5377733707427979,0.624021589756012,0.73,0.65,0.001
24,0.5334287285804749,0.6271905899047852,0.73,0.63,0.001
25,0.526473343372345,0.6246750354766846,0.74,0.64,0.001
26,0.519691526889801,0.6155986189842224,0.75,0.65,0.001
27,0.5097229480743408,0.5998919606208801,0.77,0.67,0.001
28,0.49573832750320435,0.5799510478973389,0.81,0.7,0.001
29,0.49106040596961975,0.5691959857940674,0.82,0.72,0.001
30,0.4928373396396637,0.5733241438865662,0.81,0.71,0.001
31,0.4830292761325836,0.580746054649353,0.83,0.71,0.001
32,0.47756749391555786,0.5833418369293213,0.84,0.71,0.001
33,0.47870364785194397,0.5762459635734558,0.82,0.69,0.001
