dataset,LSTMFCN,FCN,LSTM
50words,0.547252747252747,0.492307692307692,0.213186813186813
ChlorineConcentration,0.781510416666667,0.777864583333333,0.566666666666667
Cricket_X,0.743589743589744,0.68974358974359,0.205128205128205
Cricket_Y,0.771794871794872,0.730769230769231,0.205128205128205
Cricket_Z,0.774358974358974,0.684615384615385,0.182051282051282
ElectricDevices,0.773440539489042,0.794319802879004,0.730385164051355
FordA,0.958067203554568,0.969452929741738,0.833379616773119
FordB,0.918866886688669,0.921617161716172,0.586083608360836
NonInvasiveFatalECG_Thorax1,0.651399491094148,0.520101781170483,0.142493638676845
UWaveGestureLibraryAll,0.860134003350084,0.82998324958124,0.592964824120603
