dataset,accuracy,train time
50words,0.22637362637362637,91.58643412590027
ChlorineConcentration,0.5325520833333334,229.04181957244873
Cricket_X,0.19743589743589743,92.94413137435913
Cricket_Y,0.3282051282051282,93.37439584732056
Cricket_Z,0.30256410256410254,92.81897044181824
ElectricDevices,0.7380365711321489,758.1127924919128
FordA,0.8714246042765899,698.3136041164398
FordB,0.858085808580858,584.7498297691345
NonInvasiveFatalECG_Thorax1,0.33180661577608145,921.4514145851135
UWaveGestureLibraryAll,0.9128978224455612,1052.1658322811127
