dataset,LSTM,LSTM + PosEnc
50words,0.213186813186813,0.345054945054945
ChlorineConcentration,0.566666666666667,0.596614583333333
Cricket_X,0.205128205128205,0.192307692307692
Cricket_Y,0.205128205128205,0.261538461538462
Cricket_Z,0.182051282051282,0.194871794871795
ElectricDevices,0.730385164051355,0.730774218648684
FordA,0.833379616773119,0.855595667870036
FordB,0.586083608360836,0.700495049504951
NonInvasiveFatalECG_Thorax1,0.142493638676845,0.390330788804071
UWaveGestureLibraryAll,0.592964824120603,0.565605806811837
