dataset,accuracy,train time
50words,0.5978021978021978,30.6118266582489
Cricket_X,0.6666666666666666,29.43388557434082
Cricket_Y,0.7743589743589744,27.883622646331787
Cricket_Z,0.6974358974358974,28.748579025268555
ECG200,0.93,7.179488897323608
ElectricDevices,0.7847231228115679,500.7098469734192
FaceFour,0.9659090909090909,6.128539800643921
FacesUCR,0.9560975609756097,55.41730761528015
InsectWingbeatSound,0.6090909090909091,55.48665928840637
NonInvasiveFatalECG_Thorax1,0.6625954198473283,160.72120666503906
UWaveGestureLibraryAll,0.9662199888330542,200.61418771743774
WordsSynonyms,0.49686520376175547,28.092369556427002
