dataset,accuracy,train time
50words,0.7582417582417582,115.82241296768188
Cricket_X,0.7923076923076923,116.70105361938477
Cricket_Y,0.8461538461538461,116.77311587333679
Cricket_Z,0.8128205128205128,116.40698957443237
ECG200,0.93,12.496065855026245
ElectricDevices,0.7517831669044223,875.1737790107727
FaceFour,0.9772727272727273,17.02329683303833
FacesUCR,0.9614634146341463,108.41853427886963
InsectWingbeatSound,0.6343434343434343,181.77605199813843
NonInvasiveFatalECG_Thorax1,0.7287531806615776,1274.117378950119
UWaveGestureLibraryAll,0.9729201563372417,1406.1069431304932
WordsSynonyms,0.5799373040752351,100.54314351081848
