dataset,accuracy,precision,recall,train time
50words,0.7582417582417582,0.6306379461260011,0.6143781605219686,193.56772303581238
Adiac,0.690537084398977,0.7172940797940798,0.6937887187887188,133.33799958229065
ArrowHead,0.7771428571428571,0.7919640329639223,0.7882599580712788,71.4795093536377
Beef,0.7333333333333333,0.8424242424242424,0.7333333333333334,108.17782950401306
BeetleFly,0.7,0.7083333333333333,0.7,105.21211647987366
BirdChicken,0.8,0.8571428571428572,0.8,110.83561897277832
CBF,0.9944444444444445,0.99457111834962,0.9944444444444445,128.47574186325073
Car,0.8333333333333334,0.830654761904762,0.8408039329091961,124.82018637657166
ChlorineConcentration,0.8177083333333334,0.8000697328378591,0.7881529537637361,286.99957513809204
CinC_ECG_torso,0.8804347826086957,0.89187219961115,0.8812378661827595,837.6502866744995
Coffee,1.0,1.0,1.0,99.47294020652771
Computers,0.76,0.7616747181964574,0.76,266.11448907852173
Cricket_X,0.8051282051282052,0.8129804793739721,0.8094907311178816,210.1984269618988
Cricket_Y,0.8333333333333334,0.8518776101437391,0.8368170889150082,209.77693557739258
Cricket_Z,0.841025641025641,0.8313934588719073,0.8325822470801185,208.99518609046936
DiatomSizeReduction,0.9673202614379085,0.9735167011295104,0.9389909735654416,123.17537999153137
DistalPhalanxOutlineAgeGroup,0.815,0.7888327920163789,0.7317080449479471,64.6235408782959
DistalPhalanxOutlineCorrect,0.7983333333333333,0.7849608729824241,0.7981195481195481,76.63682198524475
DistalPhalanxTW,0.785,0.5477691881761649,0.5421204468815196,66.16021156311035
ECG200,0.92,0.9131944444444444,0.9131944444444444,73.35052371025085
ECG5000,0.9257777777777778,0.5992568413984574,0.5463913990613741,325.5235524177551
ECGFiveDays,0.9396051103368177,0.945882217621348,0.9392658263365781,98.885498046875
Earthquakes,0.7857142857142857,0.6148816686722824,0.593521421107628,182.36017656326294
ElectricDevices,0.7379068862663727,0.706949749551529,0.6528588324020855,1303.052502632141
FISH,0.9314285714285714,0.9334944077126558,0.93370001919263,149.8398540019989
FaceAll,0.8112426035502959,0.8326670341442329,0.9088553375448346,197.78198981285095
FaceFour,0.8636363636363636,0.85,0.8523976023976024,71.31398344039917
FacesUCR,0.8814634146341463,0.8795727126036404,0.8445796569229321,164.3688097000122
FordA,0.8905859483476812,0.8920693727322172,0.8898278560250392,1191.3001368045807
FordB,0.8798129812981298,0.8808646714269861,0.8792084423132811,966.0578191280365
Gun_Point,0.9733333333333334,0.9738247863247864,0.9731507823613086,97.80148911476135
Ham,0.6761904761904762,0.6794823705926482,0.6737472766884531,141.29622888565063
HandOutlines,0.632,0.7141659212880143,0.6990509014704099,1799.6209666728973
Haptics,0.4707792207792208,0.4606657479148343,0.4691092626435328,354.3758430480957
Herring,0.5625,0.5416666666666666,0.5404858299595142,122.55597734451294
InlineSkate,0.33090909090909093,0.3976036000618649,0.3352110163305276,598.2866852283478
InsectWingbeatSound,0.6272727272727273,0.6252852565296098,0.6272727272727273,243.26512598991394
ItalyPowerDemand,0.9543245869776482,0.9543555296979954,0.9543383652930777,98.84944462776184
LargeKitchenAppliances,0.8853333333333333,0.8870533539200549,0.8853333333333334,388.01872420310974
Lighting2,0.7540983606557377,0.7672619047619047,0.7429653679653679,131.0762767791748
Lighting7,0.6301369863013698,0.7080808080808082,0.6441938178780285,110.07497072219849
MALLAT,0.7850746268656716,0.8072270109284768,0.7859018566499263,883.1304788589478
Meat,0.9,0.923076923076923,0.9,94.25376892089844
MedicalImages,0.7684210526315789,0.7708854433913791,0.7311393938977265,92.74456715583801
MiddlePhalanxOutlineAgeGroup,0.725,0.6024645311148972,0.5818451746721789,66.85342311859131
MiddlePhalanxOutlineCorrect,0.785,0.7699985280630441,0.7898998249367828,76.61838912963867
MiddlePhalanxTW,0.6015037593984962,0.40970563664062115,0.4025820122010453,67.26207137107849
MoteStrain,0.8761980830670927,0.883872340425532,0.8705911804352012,126.62394738197327
NonInvasiveFatalECG_Thorax1,0.9419847328244275,0.9417663988155337,0.9414225352483323,1800.8462529182434
NonInvasiveFatalECG_Thorax2,0.9536895674300254,0.9526079301434182,0.951295883460731,1803.295951128006
OSULeaf,0.6115702479338843,0.6117476448044209,0.5975686602045297,153.5934717655182
OliveOil,0.8666666666666667,0.8503787878787878,0.8041666666666666,77.9390242099762
PhalangesOutlinesCorrect,0.8181818181818182,0.811704351130534,0.8006092812313894,235.87950658798218
Phoneme,0.26845991561181437,0.15513950556075054,0.1440080591244139,819.610025882721
Plane,0.9904761904761905,0.9915966386554622,0.9904761904761905,97.06373190879822
ProximalPhalanxOutlineAgeGroup,0.8341463414634146,0.7426634768740032,0.811114081996435,75.27748012542725
ProximalPhalanxOutlineCorrect,0.9072164948453608,0.9157407407407407,0.8678719685383439,89.49457788467407
ProximalPhalanxTW,0.7925,0.5104809678339091,0.5096387825754929,65.36412644386292
RefrigerationDevices,0.504,0.49848029848029846,0.5040000000000001,385.17057061195374
ScreenType,0.6053333333333333,0.6148858071288174,0.6053333333333334,384.5009288787842
ShapeletSim,0.5277777777777778,0.5281990224338889,0.5277777777777778,111.78929162025452
ShapesAll,0.7933333333333333,0.7932742488992489,0.7933333333333332,442.18904185295105
SmallKitchenAppliances,0.776,0.7754756028903756,0.7760000000000001,385.89215445518494
SonyAIBORobotSurface,0.8435940099833611,0.8664772727272727,0.8629737609329446,102.4208607673645
SonyAIBORobotSurfaceII,0.8625393494228751,0.8528888828258576,0.8615902525393719,92.20013189315796
StarLightCurves,0.9683098591549296,0.953328487358783,0.955053033385468,3380.703579902649
Strawberry,0.9592169657422512,0.9551873698820263,0.9561052777970933,155.3324749469757
SwedishLeaf,0.9584,0.9595847733056007,0.9596265386948616,115.51782774925232
Symbols,0.928643216080402,0.9309212901884805,0.9289271420322703,230.5487425327301
ToeSegmentation1,0.7982456140350878,0.7976851851851852,0.7976851851851852,75.77096271514893
ToeSegmentation2,0.8769230769230769,0.7916666666666666,0.8439465408805031,116.80056810379028
Trace,0.97,0.9722222222222222,0.9741379310344828,77.04345870018005
TwoLeadECG,0.7954345917471466,0.8190341476402849,0.7955539111398884,116.6020758152008
Two_Patterns,0.999,0.9989952143618439,0.9989761110034008,351.7855062484741
UWaveGestureLibraryAll,0.9651032942490229,0.9651586648626602,0.9650890282989524,1802.3311665058136
Wine,0.7962962962962963,0.7967032967032968,0.7962962962962963,54.30582404136658
WordsSynonyms,0.6630094043887147,0.5295815431273236,0.49242070242782854,167.6310818195343
Worms,0.5966850828729282,0.5694948766218394,0.555782632577649,205.31717920303345
WormsTwoClass,0.5911602209944752,0.6167831262939958,0.6130952380952381,169.64883971214294
synthetic_control,0.9966666666666667,0.9967320261437909,0.9966666666666667,64.70799708366394
uWaveGestureLibrary_X,0.8224455611390284,0.8207026737343797,0.8210761757999424,623.4923322200775
uWaveGestureLibrary_Y,0.7350642099385818,0.7337921919731037,0.7354760155331919,629.8574457168579
uWaveGestureLibrary_Z,0.7426018983807928,0.7375432164582258,0.7441767375161379,637.6601185798645
wafer,0.995944192083063,0.9885202302817945,0.9904563645885034,489.94650173187256
yoga,0.8666666666666667,0.8683356616411698,0.8638337924845134,551.4481620788574
