uWaveGestureLibrary_Y: loss: 1.4302   accuracy: 0.7219   training time: 624.5392293930054
InsectWingbeatSound: loss: 2.3819   accuracy: 0.5182   training time: 243.64346623420715
UWaveGestureLibraryAll: loss: 0.5934   accuracy: 0.8693   training time: 1793.7925889492035
ChlorineConcentration: loss: 1.0156   accuracy: 0.8044   training time: 278.88727617263794
NonInvasiveFatalECG_Thorax2: loss: 0.2423   accuracy: 0.9323   training time: 1794.7804555892944
synthetic_control: loss: 0.0290   accuracy: 0.9833   training time: 65.58839917182922
MiddlePhalanxTW: loss: 2.8209   accuracy: 0.5689   training time: 67.52845311164856
DistalPhalanxOutlineCorrect: loss: 1.1315   accuracy: 0.7800   training time: 76.20879054069519
uWaveGestureLibrary_X: loss: 1.0536   accuracy: 0.8040   training time: 620.7387804985046
Worms: loss: 2.7910   accuracy: 0.5359   training time: 196.4126181602478
Phoneme: loss: 4.2508   accuracy: 0.3455   training time: 811.8041749000549
ProximalPhalanxTW: loss: 1.1690   accuracy: 0.8075   training time: 65.99338126182556
Cricket_Z: loss: 0.7210   accuracy: 0.7744   training time: 209.14022612571716
WordsSynonyms: loss: 1.9453   accuracy: 0.6458   training time: 167.78654408454895
Wine: loss: 9.9679   accuracy: 0.5000   training time: 55.15939164161682
FaceFour: loss: 1.0402   accuracy: 0.6477   training time: 103.71287775039673
ShapeletSim: loss: 0.7020   accuracy: 0.7333   training time: 130.23653268814087
Trace: loss: 0.1804   accuracy: 0.9800   training time: 113.07406497001648
MALLAT: loss: 0.5955   accuracy: 0.8418   training time: 857.2647910118103
FordA: loss: 0.4062   accuracy: 0.9086   training time: 1188.4694075584412
Plane: loss: 0.0005   accuracy: 1.0000   training time: 96.82324504852295
ShapesAll: loss: 0.7675   accuracy: 0.8733   training time: 435.41981196403503
DistalPhalanxTW: loss: 1.0765   accuracy: 0.7750   training time: 66.4434962272644
SwedishLeaf: loss: 0.1607   accuracy: 0.9536   training time: 116.2750141620636
ArrowHead: loss: 0.6663   accuracy: 0.7714   training time: 107.28415870666504
ToeSegmentation1: loss: 0.0669   accuracy: 0.9605   training time: 86.82646536827087
