dataset,accuracy,precision,recall,train time
50words,0.7384615384615385,0.6193460896205498,0.5878186905801457,190.98528742790222
Adiac,0.8081841432225064,0.8160493449967133,0.81510344010344,131.9225697517395
ArrowHead,0.6685714285714286,0.6692506459948321,0.6614711512168444,65.64793300628662
Beef,0.6666666666666666,0.7422222222222222,0.6666666666666667,91.16471934318542
BeetleFly,0.8,0.8571428571428572,0.8,78.73784899711609
BirdChicken,0.9,0.9166666666666667,0.9,106.73714208602905
CBF,0.9888888888888889,0.988996813357375,0.9888962472406181,128.96698641777039
Car,0.9333333333333333,0.9450757575757576,0.9258241758241759,94.92180466651917
ChlorineConcentration,0.8015625,0.7884979970223541,0.7574747566393087,279.2368938922882
CinC_ECG_torso,0.7166666666666667,0.7583500532192443,0.7173076027839489,835.0934467315674
Coffee,1.0,1.0,1.0,99.54460835456848
Computers,0.832,0.8320850137635234,0.832,266.21231722831726
Cricket_X,0.7717948717948718,0.7912909128775168,0.7779757099300602,209.6482789516449
Cricket_Y,0.7512820512820513,0.7764248387132526,0.7556902526372281,208.46139764785767
Cricket_Z,0.8128205128205128,0.8048123033385183,0.8014827672186953,208.54806470870972
DiatomSizeReduction,0.9183006535947712,0.9394279877425945,0.8696002578981302,92.46289801597595
DistalPhalanxOutlineAgeGroup,0.81,0.7729406743491251,0.7321109236366975,64.8898138999939
DistalPhalanxOutlineCorrect,0.7766666666666666,0.7648809523809523,0.7799942799942801,77.06698632240295
DistalPhalanxTW,0.795,0.5499964686272848,0.5417463742677853,65.96496248245239
ECG200,0.9,0.8957219251336899,0.8854166666666667,88.92204475402832
ECG5000,0.9302222222222222,0.6716906262255224,0.5516002376439559,322.66168785095215
ECGFiveDays,0.8966318234610917,0.8966594711279007,0.8966081025663163,125.47435307502747
Earthquakes,0.8105590062111802,0.6502050770424564,0.5884926854754441,182.03963613510132
ElectricDevices,0.7353131889508494,0.6870748793319394,0.6350423268274098,1295.982566356659
FISH,0.96,0.9619309262166406,0.9606861365235749,150.5011043548584
FaceAll,0.9443786982248521,0.9150449067323769,0.9665474796760732,192.66812133789062
FaceFour,0.7840909090909091,0.785483870967742,0.7915834165834166,104.79900765419006
FacesUCR,0.8663414634146341,0.8673918355334743,0.8402693287280524,160.69166493415833
FordA,0.9008608719800055,0.9049182327388046,0.8996388587937884,1189.6833517551422
FordB,0.8833883388338833,0.8852946197746452,0.8825886370241209,944.0566599369049
Gun_Point,1.0,1.0,1.0,97.4725124835968
Ham,0.6571428571428571,0.6583333333333333,0.6552287581699346,125.77055931091309
HandOutlines,0.826,0.8329781836631152,0.7841666810994302,1726.0142254829407
Haptics,0.4935064935064935,0.4965721040189125,0.48841301419553307,353.6347773075104
Herring,0.625,0.6436781609195402,0.5506072874493927,94.33246922492981
InlineSkate,0.34545454545454546,0.37666522888926235,0.31710595681106063,584.2892611026764
InsectWingbeatSound,0.5035353535353535,0.5042028757852749,0.5035353535353536,244.3469979763031
ItalyPowerDemand,0.9543245869776482,0.954332698671744,0.954332698671744,99.31455063819885
LargeKitchenAppliances,0.9066666666666666,0.908030891478059,0.9066666666666667,383.05374789237976
Lighting2,0.7704918032786885,0.7689393939393939,0.7689393939393939,130.56252574920654
Lighting7,0.7397260273972602,0.7384420434840603,0.7404105501849862,78.3671555519104
MALLAT,0.6115138592750533,0.5928098633525498,0.6127541262810343,799.6620099544525
Meat,0.6833333333333333,0.8087719298245614,0.6833333333333332,85.97132968902588
MedicalImages,0.7605263157894737,0.788336698749869,0.7238181402549545,92.69339990615845
MiddlePhalanxOutlineAgeGroup,0.7325,0.6297035439892583,0.6143751154299678,66.19543075561523
MiddlePhalanxOutlineCorrect,0.8133333333333334,0.7965412704974507,0.8139467029760747,76.22521018981934
MiddlePhalanxTW,0.5839598997493735,0.3451495011428081,0.35518028355773157,67.32512021064758
MoteStrain,0.768370607028754,0.7723439659305638,0.7727299569933885,105.32197189331055
NonInvasiveFatalECG_Thorax1,0.9491094147582697,0.951094199505648,0.9472541521861674,1788.4021122455597
