dataset,accuracy,precision,recall,train time
50words,0.7274725274725274,0,0,113.10299396514893
Adiac,0.391304347826087,0,0,69.5669538974762
ArrowHead,0.8171428571428572,0,0,20.613865852355957
Beef,0.9333333333333333,0,0,15.311848878860474
BeetleFly,0.9,0,0,13.093065023422241
BirdChicken,0.9,0,0,13.026906490325928
CBF,0.9977777777777778,0,0,43.017027616500854
Car,0.9,0,0,36.36391282081604
ChlorineConcentration,0.7796875,0,0,245.25368881225586
CinC_ECG_torso,0.9239130434782609,0,0,595.6972525119781
Coffee,1.0,0,0,10.315838098526001
Computers,0.828,0,0,163.72430992126465
Cricket_X,0.7974358974358975,0,0,114.54527544975281
Cricket_Y,0.8461538461538461,0,0,114.60897207260132
Cricket_Z,0.8333333333333334,0,0,114.60196232795715
DiatomSizeReduction,0.9771241830065359,0,0,34.77726650238037
DistalPhalanxOutlineAgeGroup,0.8325,0,0,26.25705075263977
DistalPhalanxOutlineCorrect,0.85,0,0,38.40036654472351
DistalPhalanxTW,0.81,0,0,26.471499919891357
ECG200,0.95,0,0,11.742815256118774
ECG5000,0.9442222222222222,0,0,244.78367447853088
ECGFiveDays,0.9547038327526133,0,0,41.432727098464966
Earthquakes,0.8354037267080745,0,0,94.30852580070496
ElectricDevices,0.769031254052652,0,0,818.4295012950897
FISH,0.9828571428571429,0,0,76.88017296791077
FaceAll,0.9059171597633137,0,0,118.14343643188477
FaceFour,0.9772727272727273,0,0,16.205397844314575
FacesUCR,0.9546341463414634,0,0,104.87633752822876
FordA,0.9116911968897529,0,0,897.888699054718
FordB,0.9166666666666666,0,0,736.2129695415497
Gun_Point,0.9866666666666667,0,0,14.573659420013428
Ham,0.7619047619047619,0,0,44.33324074745178
HandOutlines,0.858,0,0,1291.2076501846313
Haptics,0.4967532467532468,0,0,201.17091035842896
Herring,0.671875,0,0,31.135846853256226
InlineSkate,0.3654545454545455,0,0,379.08804726600647
InsectWingbeatSound,0.6313131313131313,0,0,178.1730215549469
ItalyPowerDemand,0.9708454810495627,0,0,31.15879988670349
LargeKitchenAppliances,0.9146666666666666,0,0,244.48013854026794
Lighting2,0.819672131147541,0,0,40.22477650642395
Lighting7,0.863013698630137,0,0,21.36035442352295
MALLAT,0.9641791044776119,0,0,635.933187007904
Meat,0.9666666666666667,0,0,25.96705174446106
MedicalImages,0.7078947368421052,0,0,53.941413164138794
MiddlePhalanxOutlineAgeGroup,0.815,0,0,26.681605339050293
MiddlePhalanxOutlineCorrect,0.7616666666666667,0,0,38.37540006637573
MiddlePhalanxTW,0.6641604010025063,0,0,26.109530448913574
MoteStrain,0.9185303514376997,0,0,46.917885303497314
NonInvasiveFatalECG_Thorax1,0.7592875318066158,0,0,1267.2331705093384
NonInvasiveFatalECG_Thorax2,0.7903307888040713,0,0,1265.799797296524
OSULeaf,0.9090909090909091,0,0,84.24322199821472
OliveOil,0.9333333333333333,0,0,17.692001581192017
PhalangesOutlinesCorrect,0.8519813519813519,0,0,122.60440683364868
Phoneme,0.3512658227848101,0,0,629.1501035690308
Plane,1.0,0,0,15.944815635681152
ProximalPhalanxOutlineAgeGroup,0.8829268292682927,0,0,31.81890845298767
ProximalPhalanxOutlineCorrect,0.9450171821305842,0,0,42.74054288864136
ProximalPhalanxTW,0.8175,0,0,27.336395025253296
RefrigerationDevices,0.6053333333333333,0,0,244.6185188293457
ScreenType,0.6506666666666666,0,0,245.31138014793396
ShapeletSim,0.9333333333333333,0,0,33.207674503326416
ShapesAll,0.8416666666666667,0,0,280.7334563732147
SmallKitchenAppliances,0.832,0,0,245.95582604408264
SonyAIBORobotSurface,0.940099833610649,0,0,24.57742953300476
SonyAIBORobotSurfaceII,0.9517313746065058,0,0,34.687103509902954
StarLightCurves,0.9675813501699855,0,0,2763.4998831748962
Strawberry,0.9690048939641109,0,0,98.13203382492065
SwedishLeaf,0.9824,0,0,66.02480959892273
Symbols,0.9457286432160804,0,0,113.46508622169495
ToeSegmentation1,0.9517543859649122,0,0,25.646827697753906
ToeSegmentation2,0.8923076923076924,0,0,22.942439556121826
Trace,1.0,0,0,27.15251088142395
TwoLeadECG,0.9964881474978051,0,0,42.56325602531433
Two_Patterns,1.0,0,0,241.7660849094391
UWaveGestureLibraryAll,0.9715242881072027,0,0,1392.592195034027
Wine,0.9444444444444444,0,0,14.173095226287842
WordsSynonyms,0.5626959247648903,0,0,97.9343593120575
Worms,0.6132596685082873,0,0,88.92452239990234
WormsTwoClass,0.7292817679558011,0,0,88.68949007987976
synthetic_control,1.0,0,0,27.33360505104065
uWaveGestureLibrary_X,0.835287548855388,0,0,487.8596851825714
uWaveGestureLibrary_Y,0.7434394193188163,0,0,487.9751510620117
uWaveGestureLibrary_Z,0.7518146286990508,0,0,487.2577555179596
wafer,0.9985399091499026,0,0,381.94580006599426
yoga,0.867,0,0,419.1676387786865
