dataset,accuracy,precision,recall,train time
50words,0.5494505494505495,0,0,114.1034107208252
Adiac,0.42710997442455245,0,0,70.07240867614746
ArrowHead,0.8228571428571428,0,0,20.579240322113037
Beef,0.8333333333333334,0,0,15.505455255508423
BeetleFly,0.95,0,0,13.138469457626343
BirdChicken,1.0,0,0,13.164974927902222
CBF,0.9944444444444445,0,0,43.227033376693726
Car,0.95,0,0,36.46644425392151
ChlorineConcentration,0.7747395833333334,0,0,247.78440880775452
CinC_ECG_torso,0.7956521739130434,0,0,608.8036668300629
Coffee,1.0,0,0,10.398046493530273
Computers,0.88,0,0,165.6171534061432
Cricket_X,0.7410256410256411,0,0,116.10546922683716
Cricket_Y,0.7435897435897436,0,0,116.06134390830994
Cricket_Z,0.6948717948717948,0,0,116.13506865501404
DiatomSizeReduction,0.8823529411764706,0,0,35.737913370132446
DistalPhalanxOutlineAgeGroup,0.8725,0,0,26.596745491027832
DistalPhalanxOutlineCorrect,0.8433333333333334,0,0,38.68199110031128
DistalPhalanxTW,0.805,0,0,26.559507369995117
ECG200,0.9,0,0,11.85226559638977
ECG5000,0.946,0,0,245.88148856163025
ECGFiveDays,0.9849012775842044,0,0,42.22094511985779
Earthquakes,0.8416149068322981,0,0,95.95999145507812
ElectricDevices,0.8062508105304111,0,0,827.2354466915131
FISH,0.9714285714285714,0,0,77.83168268203735
FaceAll,0.9644970414201184,0,0,118.36743521690369
FaceFour,0.9204545454545454,0,0,16.34625506401062
FacesUCR,0.9102439024390244,0,0,104.57343363761902
FordA,0.9702860316578729,0,0,912.1457228660583
FordB,0.9191419141914191,0,0,748.45294713974
Gun_Point,1.0,0,0,14.798322439193726
Ham,0.7714285714285715,0,0,45.28096675872803
HandOutlines,0.847,0,0,1307.6617715358734
Haptics,0.4772727272727273,0,0,203.32992959022522
Herring,0.765625,0,0,31.634151697158813
InlineSkate,0.45636363636363636,0,0,384.87588596343994
InsectWingbeatSound,0.4505050505050505,0,0,181.68896317481995
ItalyPowerDemand,0.9591836734693877,0,0,32.59574747085571
LargeKitchenAppliances,0.9546666666666667,0,0,249.1999011039734
Lighting2,0.7868852459016393,0,0,40.93863368034363
Lighting7,0.7123287671232876,0,0,21.85374879837036
MALLAT,0.8511727078891258,0,0,643.3370444774628
Meat,1.0,0,0,26.29082679748535
MedicalImages,0.6934210526315789,0,0,54.513484716415405
MiddlePhalanxOutlineAgeGroup,0.815,0,0,26.844099044799805
MiddlePhalanxOutlineCorrect,0.825,0,0,39.01543474197388
MiddlePhalanxTW,0.6516290726817042,0,0,27.071404695510864
MoteStrain,0.9376996805111821,0,0,47.22653317451477
NonInvasiveFatalECG_Thorax1,0.6437659033078881,0,0,1279.2314310073853
NonInvasiveFatalECG_Thorax2,0.6798982188295165,0,0,1291.9329290390015
OSULeaf,0.9958677685950413,0,0,85.25645995140076
OliveOil,0.6666666666666666,0,0,17.81878662109375
PhalangesOutlinesCorrect,0.8251748251748252,0,0,124.11005568504333
Phoneme,0.2990506329113924,0,0,641.4120221138
Plane,1.0,0,0,16.142760276794434
ProximalPhalanxOutlineAgeGroup,0.8878048780487805,0,0,32.56374382972717
ProximalPhalanxOutlineCorrect,0.9106529209621993,0,0,42.616607427597046
ProximalPhalanxTW,0.8125,0,0,27.11106252670288
RefrigerationDevices,0.5866666666666667,0,0,248.674001455307
ScreenType,0.672,0,0,250.7998366355896
ShapeletSim,0.9888888888888889,0,0,34.24073672294617
ShapesAll,0.8316666666666667,0,0,291.87152767181396
SmallKitchenAppliances,0.8346666666666667,0,0,266.50207352638245
SonyAIBORobotSurface,0.9700499168053245,0,0,25.644105911254883
SonyAIBORobotSurfaceII,0.9842602308499475,0,0,36.15652132034302
StarLightCurves,0.9748664400194269,0,0,2903.3644127845764
Strawberry,0.9690048939641109,0,0,99.61043763160706
SwedishLeaf,0.9728,0,0,66.33137893676758
Symbols,0.9849246231155779,0,0,115.76240682601929
ToeSegmentation1,0.9605263157894737,0,0,26.40372920036316
ToeSegmentation2,0.9384615384615385,0,0,23.427910089492798
Trace,1.0,0,0,27.5483341217041
TwoLeadECG,1.0,0,0,43.11146068572998
Two_Patterns,1.0,0,0,243.40575504302979
UWaveGestureLibraryAll,0.8344500279173646,0,0,1422.9060792922974
Wine,0.8888888888888888,0,0,14.349635124206543
WordsSynonyms,0.3824451410658307,0,0,100.10992383956909
Worms,0.6464088397790055,0,0,90.69291567802429
WormsTwoClass,0.7900552486187845,0,0,90.00424909591675
synthetic_control,0.9933333333333333,0,0,26.874115467071533
uWaveGestureLibrary_X,0.7928531546621999,0,0,499.73073625564575
uWaveGestureLibrary_Y,0.7063093243997767,0,0,509.07294058799744
uWaveGestureLibrary_Z,0.7646566164154104,0,0,498.94124960899353
wafer,0.8921155094094744,0,0,390.32259035110474
yoga,0.9036666666666666,0,0,431.54077100753784
