dataset,LSTMFCN,LSTMFCN + PosEnc,LSTMFCN simplified,LSTMFCN simpliefied + PosEnc,LSTMFCN Original,InceptioniIme
50words,0.5429,0.7473,0.4242,0.7582,0.8066,0.8549
ChlorineConcentration,0.7883,0.7938,0.7789,0.7612,0.8099,0.8714
ECG5000,0.9451,0.9444,0.9462,0.9420,0.9473,0.9409
ElectricDevices,0.7990,0.7790,0.7711,0.7635,0.7681,0.7125
FaceAll,0.9337,0.9118,0.8154,0.8136,0.9402,0.9562
FordA,0.9722,0.9295,0.9386,0.9117,0.9272,0.9461
FordB,0.9211,0.9164,0.9224,0.9062,0.918,0.9342
NonInvasiveFatalECG_Thorax1,0.7450,0.7639,0.6300,0.6758,0.9654,0.9608
NonInvasiveFatalECG_Thorax2,0.7262,0.7878,0.6651,0.7440,0.9623,0.9634
PhalangesOutlinesCorrect,0.8310,0.8462,0.8333,0.8392,0.8368,0.8508
ProximalPhalanxOutlineCorrect,0.9210,0.9485,0.9313,0.9381,0.945,0.9313
ShapesAll,0.8517,0.8367,0.6917,0.7000,0.9017,0.9233
StarLightCurves,0.9754,0.9621,0.9771,0.9723,0.9756,0.9756
SwedishLeaf,0.9792,0.9744,0.9744,0.9712,0.9792,0.9719
Two_Patterns,1.0000,1.0000,1.0000,1.0000,0.9968,1.0000
UWaveGestureLibraryAll,0.8423,0.9721,0.8490,0.9710,0.9618,0.9481
uWaveGestureLibrary_X,0.8009,0.8311,0.7929,0.8252,0.849,0.8224
uWaveGestureLibrary_Y,0.7166,0.7326,0.7063,0.7309,0.7672,0.7694
uWaveGestureLibrary_Z,0.7580,0.7552,0.7063,0.7418,0.7973,0.7702
wafer,0.9921,0.9982,0.8921,0.8921,0.9992,0.9954
